EPISODE	TIME_STEP_TOTAL	REWARD_TOTAL
1610	200	200.0
1611	200	200.0
1612	200	200.0
1613	200	200.0
1614	200	200.0
1615	200	200.0
1616	200	200.0
1617	200	200.0
1618	200	200.0
1619	200	200.0
1620	200	200.0
1621	200	200.0
1622	200	200.0
1623	200	200.0
1624	200	200.0
1625	200	200.0
1626	200	200.0
1627	200	200.0
1628	200	200.0
1629	200	200.0
1630	200	200.0
1631	200	200.0
1632	200	200.0
1633	200	200.0
1634	200	200.0
1635	200	200.0
1636	200	200.0
1637	200	200.0
1638	200	200.0
1639	200	200.0
1640	200	200.0
1641	200	200.0
1642	200	200.0
1643	200	200.0
1644	200	200.0
